ymin,xmin,env,xmax,ymax,bio
1,21,TN,25,17,AMF_RZS
1,21,TN,25,12,AMF_RS
1,21,TN,25,7,AMF_RE
1,21,TN,25,2,AMF_NE
2,21,NH4_N,25,17,AMF_RZS
2,21,NH4_N,25,12,AMF_RS
2,21,NH4_N,25,7,AMF_RE
2,21,NH4_N,25,2,AMF_NE
3,21,NO3_N,25,17,AMF_RZS
3,21,NO3_N,25,12,AMF_RS
3,21,NO3_N,25,7,AMF_RE
3,21,NO3_N,25,2,AMF_NE
4,21,MBN,25,17,AMF_RZS
4,21,MBN,25,12,AMF_RS
4,21,MBN,25,7,AMF_RE
4,21,MBN,25,2,AMF_NE
5,21,TC,25,17,AMF_RZS
5,21,TC,25,12,AMF_RS
5,21,TC,25,7,AMF_RE
5,21,TC,25,2,AMF_NE
6,21,OM,25,17,AMF_RZS
6,21,OM,25,12,AMF_RS
6,21,OM,25,7,AMF_RE
6,21,OM,25,2,AMF_NE
7,21,MBC,25,17,AMF_RZS
7,21,MBC,25,12,AMF_RS
7,21,MBC,25,7,AMF_RE
7,21,MBC,25,2,AMF_NE
8,21,TP,25,17,AMF_RZS
8,21,TP,25,12,AMF_RS
8,21,TP,25,7,AMF_RE
8,21,TP,25,2,AMF_NE
9,21,AP,25,17,AMF_RZS
9,21,AP,25,12,AMF_RS
9,21,AP,25,7,AMF_RE
9,21,AP,25,2,AMF_NE
10,21,TK,25,17,AMF_RZS
10,21,TK,25,12,AMF_RS
10,21,TK,25,7,AMF_RE
10,21,TK,25,2,AMF_NE
11,21,AK,25,17,AMF_RZS
11,21,AK,25,12,AMF_RS
11,21,AK,25,7,AMF_RE
11,21,AK,25,2,AMF_NE
12,21,pH,25,17,AMF_RZS
12,21,pH,25,12,AMF_RS
12,21,pH,25,7,AMF_RE
12,21,pH,25,2,AMF_NE
13,21,APP,25,17,AMF_RZS
13,21,APP,25,12,AMF_RS
13,21,APP,25,7,AMF_RE
13,21,APP,25,2,AMF_NE
14,21,LAP,25,17,AMF_RZS
14,21,LAP,25,12,AMF_RS
14,21,LAP,25,7,AMF_RE
14,21,LAP,25,2,AMF_NE
15,21,NAG,25,17,AMF_RZS
15,21,NAG,25,12,AMF_RS
15,21,NAG,25,7,AMF_RE
15,21,NAG,25,2,AMF_NE
16,21,Urease,25,17,AMF_RZS
16,21,Urease,25,12,AMF_RS
16,21,Urease,25,7,AMF_RE
16,21,Urease,25,2,AMF_NE
17,21,BG,25,17,AMF_RZS
17,21,BG,25,12,AMF_RS
17,21,BG,25,7,AMF_RE
17,21,BG,25,2,AMF_NE
18,21,CBH,25,17,AMF_RZS
18,21,CBH,25,12,AMF_RS
18,21,CBH,25,7,AMF_RE
18,21,CBH,25,2,AMF_NE
19,21,BX,25,17,AMF_RZS
19,21,BX,25,12,AMF_RS
19,21,BX,25,7,AMF_RE
19,21,BX,25,2,AMF_NE
20,21,AKP,25,17,AMF_RZS
20,21,AKP,25,12,AMF_RS
20,21,AKP,25,7,AMF_RE
20,21,AKP,25,2,AMF_NE
21,21,EMF,25,17,AMF_RZS
21,21,EMF,25,12,AMF_RS
21,21,EMF,25,7,AMF_RE
21,21,EMF,25,2,AMF_NE
