sample	Niche	treatment	group
CK.Z.1	Rootzone	CK	CK.Z
CK.Z.2	Rootzone	CK	CK.Z
CK.Z.3	Rootzone	CK	CK.Z
CK.Z.4	Rootzone	CK	CK.Z
CK.Z.5	Rootzone	CK	CK.Z
M.Z.1	Rootzone	M	M.Z
M.Z.2	Rootzone	M	M.Z
M.Z.3	Rootzone	M	M.Z
M.Z.4	Rootzone	M	M.Z
M.Z.5	Rootzone	M	M.Z
NPK.Z.1	Rootzone	NPK	NPK.Z
NPK.Z.2	Rootzone	NPK	NPK.Z
NPK.Z.3	Rootzone	NPK	NPK.Z
NPK.Z.4	Rootzone	NPK	NPK.Z
NPK.Z.5	Rootzone	NPK	NPK.Z
N0.Z.1	Rootzone	N0	N0.Z
N0.Z.2	Rootzone	N0	N0.Z
N0.Z.3	Rootzone	N0	N0.Z
N0.Z.4	Rootzone	N0	N0.Z
N0.Z.5	Rootzone	N0	N0.Z
N2.Z.1	Rootzone	N2	N2.Z
N2.Z.2	Rootzone	N2	N2.Z
N2.Z.3	Rootzone	N2	N2.Z
N2.Z.4	Rootzone	N2	N2.Z
N2.Z.5	Rootzone	N2	N2.Z
N4.Z.1	Rootzone	N4	N4.Z
N4.Z.2	Rootzone	N4	N4.Z
N4.Z.3	Rootzone	N4	N4.Z
N4.Z.4	Rootzone	N4	N4.Z
N4.Z.5	Rootzone	N4	N4.Z
N6.Z.1	Rootzone	N6	N6.Z
N6.Z.2	Rootzone	N6	N6.Z
N6.Z.3	Rootzone	N6	N6.Z
N6.Z.4	Rootzone	N6	N6.Z
N6.Z.5	Rootzone	N6	N6.Z
CK.RH.1	Rhizosphere	CK	CK.RH
CK.RH.2	Rhizosphere	CK	CK.RH
CK.RH.3	Rhizosphere	CK	CK.RH
CK.RH.4	Rhizosphere	CK	CK.RH
CK.RH.5	Rhizosphere	CK	CK.RH
M.RH.1	Rhizosphere	M	M.RH
M.RH.2	Rhizosphere	M	M.RH
M.RH.3	Rhizosphere	M	M.RH
M.RH.4	Rhizosphere	M	M.RH
M.RH.5	Rhizosphere	M	M.RH
NPK.RH.1	Rhizosphere	NPK	NPK.RH
NPK.RH.2	Rhizosphere	NPK	NPK.RH
NPK.RH.3	Rhizosphere	NPK	NPK.RH
NPK.RH.4	Rhizosphere	NPK	NPK.RH
NPK.RH.5	Rhizosphere	NPK	NPK.RH
N0.RH.1	Rhizosphere	N0	N0.RH
N0.RH.2	Rhizosphere	N0	N0.RH
N0.RH.3	Rhizosphere	N0	N0.RH
N0.RH.4	Rhizosphere	N0	N0.RH
N0.RH.5	Rhizosphere	N0	N0.RH
N2.RH.1	Rhizosphere	N2	N2.RH
N2.RH.2	Rhizosphere	N2	N2.RH
N2.RH.3	Rhizosphere	N2	N2.RH
N2.RH.4	Rhizosphere	N2	N2.RH
N2.RH.5	Rhizosphere	N2	N2.RH
N4.RH.1	Rhizosphere	N4	N4.RH
N4.RH.2	Rhizosphere	N4	N4.RH
N4.RH.3	Rhizosphere	N4	N4.RH
N4.RH.4	Rhizosphere	N4	N4.RH
N4.RH.5	Rhizosphere	N4	N4.RH
N6.RH.1	Rhizosphere	N6	N6.RH
N6.RH.2	Rhizosphere	N6	N6.RH
N6.RH.3	Rhizosphere	N6	N6.RH
N6.RH.4	Rhizosphere	N6	N6.RH
N6.RH.5	Rhizosphere	N6	N6.RH
CK.RT.1	Root	CK	CK.RT
CK.RT.2	Root	CK	CK.RT
CK.RT.3	Root	CK	CK.RT
CK.RT.4	Root	CK	CK.RT
CK.RT.5	Root	CK	CK.RT
M.RT.1	Root	M	M.RT
M.RT.2	Root	M	M.RT
M.RT.3	Root	M	M.RT
M.RT.4	Root	M	M.RT
M.RT.5	Root	M	M.RT
NPK.RT.1	Root	NPK	NPK.RT
NPK.RT.2	Root	NPK	NPK.RT
NPK.RT.3	Root	NPK	NPK.RT
NPK.RT.4	Root	NPK	NPK.RT
NPK.RT.5	Root	NPK	NPK.RT
N0.RT.1	Root	N0	N0.RT
N0.RT.2	Root	N0	N0.RT
N0.RT.3	Root	N0	N0.RT
N0.RT.4	Root	N0	N0.RT
N0.RT.5	Root	N0	N0.RT
N2.RT.1	Root	N2	N2.RT
N2.RT.2	Root	N2	N2.RT
N2.RT.3	Root	N2	N2.RT
N2.RT.4	Root	N2	N2.RT
N2.RT.5	Root	N2	N2.RT
N4.RT.1	Root	N4	N4.RT
N4.RT.2	Root	N4	N4.RT
N4.RT.3	Root	N4	N4.RT
N4.RT.4	Root	N4	N4.RT
N4.RT.5	Root	N4	N4.RT
N6.RT.1	Root	N6	N6.RT
N6.RT.2	Root	N6	N6.RT
N6.RT.3	Root	N6	N6.RT
N6.RT.4	Root	N6	N6.RT
N6.RT.5	Root	N6	N6.RT
CK.N.1	Nodule	CK	CK.N
CK.N.2	Nodule	CK	CK.N
CK.N.3	Nodule	CK	CK.N
CK.N.4	Nodule	CK	CK.N
CK.N.5	Nodule	CK	CK.N
M.N.1	Nodule	M	M.N
M.N.2	Nodule	M	M.N
M.N.3	Nodule	M	M.N
M.N.4	Nodule	M	M.N
M.N.5	Nodule	M	M.N
NPK.N.1	Nodule	NPK	NPK.N
NPK.N.2	Nodule	NPK	NPK.N
NPK.N.3	Nodule	NPK	NPK.N
NPK.N.4	Nodule	NPK	NPK.N
NPK.N.5	Nodule	NPK	NPK.N
N0.N.1	Nodule	N0	N0.N
N0.N.2	Nodule	N0	N0.N
N0.N.3	Nodule	N0	N0.N
N0.N.4	Nodule	N0	N0.N
N0.N.5	Nodule	N0	N0.N
N2.N.1	Nodule	N2	N2.N
N2.N.2	Nodule	N2	N2.N
N2.N.3	Nodule	N2	N2.N
N2.N.4	Nodule	N2	N2.N
N2.N.5	Nodule	N2	N2.N
N4.N.1	Nodule	N4	N4.N
N4.N.2	Nodule	N4	N4.N
N4.N.3	Nodule	N4	N4.N
N4.N.4	Nodule	N4	N4.N
N4.N.5	Nodule	N4	N4.N
N6.N.1	Nodule	N6	N6.N
N6.N.2	Nodule	N6	N6.N
N6.N.3	Nodule	N6	N6.N
N6.N.4	Nodule	N6	N6.N
N6.N.5	Nodule	N6	N6.N
CK.O.1	Original	CK	CK.O
CK.O.2	Original	CK	CK.O
CK.O.3	Original	CK	CK.O
CK.O.4	Original	CK	CK.O
