sample,EMF_MFS,EMF_RZS,deltaEMF,Niche,treatment,group,Nitrogen,NicheSelc,richness_RHI,PCoA1_RHI,richness_AMF,PCoA1_AMF,nifH,Anammox_Bacteria,hzsB,amoA_archaea,amoA_becteria,nxrA,comammoxA,napA,nirS,nirK,qnorB,nosZ,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,Ngenes
N0.N.1,-0.273594735,0.24174438,0.329844997,Nodule,N0,N0.N,0,4,50,-0.531174073,99,0.035051991,70285513.92,885023.1312,29272.81013,501048.7352,152048433.3,15318.40695,2262748.375,293706.8883,2926312.376,571812085.5,0,56126.98924,1.124672747,0.796398467,11.46394636,8.550804598,16.47857189,18.19851644,113.8979932,1.552706553,52.9,20.02442002,120,8.11,1.920858351,1.287377941,0.00494039,0.153350939,0.011636186,0.010809265,0.00482943,0.059233382,-0.184975018
N0.N.2,-0.321117081,0.024540671,0.279965753,Nodule,N0,N0.N,0,4,39,-0.531217388,75,0.044328518,29360769.58,304363.466,5505.270408,69376.83035,34248347.97,3902.627888,319275.0816,60002.46672,566743.6028,175358220.5,0,15967.34849,1.109150505,0.922145594,11.20197318,8.718467433,16.03424311,17.43639923,108.6411628,1.573398216,52.1,20.1135442,120,8.1,0.256402401,0.951537203,0.005924752,0.158168949,0.009338685,0.009346654,0.007995035,0.06241588,-0.686381483
N0.N.3,-0.371243004,0.195649549,0.403539126,Nodule,N0,N0.N,0,4,49,-0.531120193,452,-0.044703958,39541025.55,239817.7702,8164.512869,58287.42674,36507741.08,7010.27191,740025.863,44563.77238,1263135.472,204060292.4,0,44246.74148,1.110307729,0.953582375,11.30676245,9.389118774,16.13422871,17.336625,113.8979932,1.567256273,50.3,20.0740436,119,8.03,0.085018507,1.084967515,0.004821331,0.153513206,0.009109372,0.008868732,0.005392078,0.052342077,-0.58879765
N0.N.4,-0.392166303,0.106999952,0.340880888,Nodule,N0,N0.N,0,4,26,-0.531228496,180,-0.067935281,50957806.34,441075.4583,46966.5239,339077.4144,106254691.1,17962.54364,4557192.349,308428.5267,2433823.228,736927616.1,0,51696.86784,1.150425977,0.838314176,11.36963602,8.718467433,16.46581769,17.92855566,115.65027,1.527609835,52.7,20.15316405,120,8,0.449421603,1.035590347,0.005327318,0.150646419,0.007412271,0.008960286,0.005688205,0.029506364,-0.220730093
N0.N.5,-0.259851215,-0.09305673,0.087042759,Nodule,N0,N0.N,0,4,45,-0.531199518,184,0.01882658,75554489.48,680438.1414,73778.54537,609936.2982,205393110.8,26199.1991,3925365.584,626971.1682,2106484.329,508031352.6,0,78721.49478,1.132215118,0.78591954,11.12862069,8.969961686,16.34610534,17.97550464,122.6593773,1.582955949,50.1,20.25524907,120,7.99,0.360681637,1.52094194,0.00565362,0.151775518,0.009031229,0.007878001,0.004076527,0.07447219,-0.05048632
N0.R.1,-0.273594735,0.24174438,0.329844997,Root,N0,N0.R,0,3,373,-0.109342662,276,0.01339162,17178.82228,533462.6843,770506.9675,505992.364,4004382644,8403.270449,33378000.14,486347.6986,17178.82228,1321335.878,956.4502144,72764.36022,1.124672747,0.796398467,11.46394636,8.550804598,16.47857189,18.19851644,113.8979932,1.552706553,52.9,20.02442002,120,8.11,1.920858351,1.287377941,0.00494039,0.153350939,0.011636186,0.010809265,0.00482943,0.059233382,-0.081518379
N0.R.2,-0.321117081,0.024540671,0.279965753,Root,N0,N0.R,0,3,361,-0.470878113,233,0.018341041,30768.84158,1207375.612,668264.1941,586047.9811,1366456978,8398.556551,34743998.38,480448.2659,30768.84158,4274213.207,413.3691933,149758.0323,1.109150505,0.922145594,11.20197318,8.718467433,16.03424311,17.43639923,108.6411628,1.573398216,52.1,20.1135442,120,8.1,0.256402401,0.951537203,0.005924752,0.158168949,0.009338685,0.009346654,0.007995035,0.06241588,-0.182722382
N0.R.3,-0.371243004,0.195649549,0.403539126,Root,N0,N0.R,0,3,269,-0.237997704,144,0.015532486,25734.63507,512942.9523,811499.6545,522993.3569,2670530487,9349.465254,37279485.86,477141.0553,25734.63507,1520718.43,672.3745351,83923.40147,1.110307729,0.953582375,11.30676245,9.389118774,16.13422871,17.336625,113.8979932,1.567256273,50.3,20.0740436,119,8.03,0.085018507,1.084967515,0.004821331,0.153513206,0.009109372,0.008868732,0.005392078,0.052342077,-0.08695798
N0.R.4,-0.392166303,0.106999952,0.340880888,Root,N0,N0.R,0,3,394,-0.010278048,192,0.018156539,24604.84639,620468.5933,827079.9218,508259.557,475997937.2,7359.030285,33337919.5,290992.5491,24604.84639,1723777.642,100.4377601,82980.02399,1.150425977,0.838314176,11.36963602,8.718467433,16.46581769,17.92855566,115.65027,1.527609835,52.7,20.15316405,120,8,0.449421603,1.035590347,0.005327318,0.150646419,0.007412271,0.008960286,0.005688205,0.029506364,-0.248717305
N0.R.5,-0.259851215,-0.09305673,0.087042759,Root,N0,N0.R,0,3,138,-0.461441184,101,0.038642373,27638.44768,234246.4238,781081.6705,358110.5512,1648228875,7966.803378,30232177.47,393513.2812,27638.44768,1518266.528,308.0066869,78450.85322,1.132215118,0.78591954,11.12862069,8.969961686,16.34610534,17.97550464,122.6593773,1.582955949,50.1,20.25524907,120,7.99,0.360681637,1.52094194,0.00565362,0.151775518,0.009031229,0.007878001,0.004076527,0.07447219,-0.213820069
N0.RH.1,-0.273594735,0.24174438,0.329844997,Rhizosphere,N0,N0.RH,0,2,212,-0.023260683,636,-0.294204394,8214.814092,294079875.9,76365.86863,63416698.54,661251196.6,41556.78651,795457.4648,827484.9481,6156667.714,15325747.89,41983.92186,613655.1716,1.124672747,0.796398467,11.46394636,8.550804598,16.47857189,18.19851644,113.8979932,1.552706553,52.9,20.02442002,120,8.11,1.920858351,1.287377941,0.00494039,0.153350939,0.011636186,0.010809265,0.00482943,0.059233382,0.11566402
