"z","module","p","roles","label","role_7"
1.5,"1",0,"Peripherals","","ultra peripheral"
-0.5,"1",0,"Peripherals","","ultra peripheral"
-0.5,"1",0,"Peripherals","","ultra peripheral"
-0.5,"1",0,"Peripherals","","ultra peripheral"
1.81811868577262,"8",0,"Peripherals","","ultra peripheral"
1.81811868577262,"8",0,"Peripherals","","ultra peripheral"
1.81811868577262,"8",0,"Peripherals","","ultra peripheral"
1.81811868577262,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.51946248164932,"8",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"2",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"2",0,"Peripherals","","ultra peripheral"
1.15470053837925,"2",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"10",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
1.62869014209191,"7",0,"Peripherals","","ultra peripheral"
1.62869014209191,"7",0,"Peripherals","","ultra peripheral"
1.62869014209191,"7",0,"Peripherals","","ultra peripheral"
1.62869014209191,"7",0,"Peripherals","","ultra peripheral"
1.62869014209191,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
-0.581675050747111,"7",0,"Peripherals","","ultra peripheral"
0,"4",0,"Peripherals","","ultra peripheral"
0,"4",0,"Peripherals","","ultra peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
0,"5",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
1.14132886537902,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
-0.83005735663929,"6",0,"Peripherals","","ultra peripheral"
1.78885438199983,"12",0,"Peripherals","","ultra peripheral"
-0.447213595499958,"12",0,"Peripherals","","ultra peripheral"
-0.447213595499958,"12",0,"Peripherals","","ultra peripheral"
-0.447213595499958,"12",0,"Peripherals","","ultra peripheral"
-0.447213595499958,"12",0,"Peripherals","","ultra peripheral"
1.89736659610103,"9",0,"Peripherals","","ultra peripheral"
1.89736659610103,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
-0.474341649025257,"9",0,"Peripherals","","ultra peripheral"
2.04124145231931,"11",0,"Peripherals","","ultra peripheral"
-0.408248290463863,"11",0,"Peripherals","","ultra peripheral"
-0.408248290463863,"11",0,"Peripherals","","ultra peripheral"
-0.408248290463863,"11",0,"Peripherals","","ultra peripheral"
-0.408248290463863,"11",0,"Peripherals","","ultra peripheral"
-0.408248290463863,"11",0,"Peripherals","","ultra peripheral"
1.15470053837925,"13",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"13",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"13",0,"Peripherals","","ultra peripheral"
